SpecialRunNumber,Plot,Row,Range,Rep.,Variety
1,1409,10,2,1,B97
2,1409,10,2,1,B97
3,1411,8,2,1,CML333
4,1411,8,2,1,CML333
5,1412,7,2,1,NC358
6,1412,7,2,1,NC358
7,1413,6,2,1,M162W
8,1413,6,2,1,M162W
9,1414,5,2,1,CML69
10,1414,5,2,1,CML69
11,1415,4,2,1,OH43
12,1415,4,2,1,OH43
13,1417,3,3,1,CML103
14,1417,3,3,1,CML103
15,1418,4,3,1,OH7B
16,1418,4,3,1,OH7B
17,1419,5,3,1,CML322
18,1419,5,3,1,CML322
19,1420,6,3,1,M37W
20,1420,6,3,1,M37W
21,1421,7,3,1,CML277
22,1421,7,3,1,CML277
23,1422,8,3,1,IL14H
24,1422,8,3,1,IL14H
25,1423,9,3,1,Mo18W
26,1423,9,3,1,Mo18W
27,1424,10,3,1,MS71
28,1424,10,3,1,MS71
29,1425,10,4,1,Mo17
30,1425,10,4,1,Mo17
31,1426,9,4,1,Tzi8
32,1426,9,4,1,Tzi8
33,1428,7,4,1,CML52
34,1428,7,4,1,CML52
35,1429,6,4,1,B73
36,1429,6,4,1,B73
37,1431,4,4,1,Tx303
38,1431,4,4,1,Tx303
39,1432,3,4,1,KY21
40,1432,3,4,1,KY21
41,1434,4,5,1,P39 
42,1434,4,5,1,P39 
43,1435,5,5,1,NC350
44,1435,5,5,1,NC350
45,1436,6,5,2,Ki3
46,1436,6,5,2,Ki3
47,1437,7,5,2,IL14H
48,1437,7,5,2,IL14H
49,1438,8,5,2,NC358
50,1438,8,5,2,NC358
51,1439,9,5,2,Mo18W
52,1439,9,5,2,Mo18W
53,1440,10,5,2,MS71
54,1440,10,5,2,MS71
55,1441,10,6,2,Tzi8
56,1441,10,6,2,Tzi8
57,1442,9,6,2,CML228
58,1442,9,6,2,CML228
59,1443,8,6,2,M37W
60,1443,8,6,2,M37W
61,1444,7,6,2,OH7B
62,1444,7,6,2,OH7B
63,1445,6,6,2,P39 
64,1445,6,6,2,P39 
65,1446,5,6,2,HP301
66,1446,5,6,2,HP301
67,1447,4,6,2,Mo17
68,1447,4,6,2,Mo17
69,1448,3,6,2,CML277
70,1448,3,6,2,CML277
71,1449,3,7,2,CML333
72,1449,3,7,2,CML333
73,1450,4,7,2,CML247
74,1450,4,7,2,CML247
75,1451,5,7,2,Ki11
76,1451,5,7,2,Ki11
77,1452,6,7,2,Tx303
78,1452,6,7,2,Tx303
79,1453,7,7,2,B73
80,1453,7,7,2,B73
81,1454,8,7,2,CML322
82,1454,8,7,2,CML322
83,1455,9,7,2,KY21
84,1455,9,7,2,KY21
85,1456,10,7,2,OH43
86,1456,10,7,2,OH43
87,1457,10,8,2,NC350
88,1457,10,8,2,NC350
89,1458,9,8,2,CML52
90,1458,9,8,2,CML52
91,1459,8,8,2,M162W
92,1459,8,8,2,M162W
93,1460,7,8,2,B97
94,1460,7,8,2,B97
95,1461,6,8,2,CML69
96,1461,6,8,2,CML69
97,1462,5,8,2,CML103
98,1462,5,8,2,CML103
99,1463,4,8,3,Mo17
100,1463,4,8,3,Mo17
101,1464,3,8,3,M37W
102,1464,3,8,3,M37W
103,1465,3,9,3,Tzi8
104,1465,3,9,3,Tzi8
105,1466,4,9,3,CML322
106,1466,4,9,3,CML322
107,1467,5,9,3,KY21
108,1467,5,9,3,KY21
109,1468,6,9,3,NC350
110,1468,6,9,3,NC350
111,1469,7,9,3,B97
112,1469,7,9,3,B97
113,1470,8,9,3,CML103
114,1470,8,9,3,CML103
115,1471,9,9,3,OH7B
116,1471,9,9,3,OH7B
117,1472,10,9,3,CML277
118,1472,10,9,3,CML277
119,1473,10,10,3,Tx303
120,1473,10,10,3,Tx303
121,1474,9,10,3,Mo18W
122,1474,9,10,3,Mo18W
123,1475,8,10,3,OH43
124,1475,8,10,3,OH43
125,1476,7,10,3,M162W
126,1476,7,10,3,M162W
127,1477,6,10,3,CML52
128,1477,6,10,3,CML52
129,1478,5,10,3,CML247
130,1478,5,10,3,CML247
131,1479,4,10,3,Ki3
132,1479,4,10,3,Ki3
133,1480,3,10,3,MS71
134,1480,3,10,3,MS71
135,1481,3,11,3,CML333
136,1481,3,11,3,CML333
137,1482,4,11,3,CML69
138,1482,4,11,3,CML69
139,1483,5,11,3,NC358
140,1483,5,11,3,NC358
141,1484,6,11,3,IL14H
142,1484,6,11,3,IL14H
143,1485,7,11,3,HP301
144,1485,7,11,3,HP301
145,1486,8,11,3,P39 
146,1486,8,11,3,P39 
147,1487,9,11,3,Ki11
148,1487,9,11,3,Ki11
149,1488,10,11,3,B73
150,1488,10,11,3,B73
151,1489,10,12,3,CML228
152,1489,10,12,3,CML228
153,1490,9,12,4,NC358
154,1490,9,12,4,NC358
155,1491,8,12,4,CML247
156,1491,8,12,4,CML247
157,1492,7,12,4,NC350
158,1492,7,12,4,NC350
159,1493,6,12,4,CML277
160,1493,6,12,4,CML277
161,1494,5,12,4,M37W
162,1494,5,12,4,M37W
163,1495,4,12,4,M162W
164,1495,4,12,4,M162W
165,1496,3,12,4,Tx303
166,1496,3,12,4,Tx303
167,1497,3,13,4,MS71
168,1497,3,13,4,MS71
169,1499,5,13,4,HP301
170,1499,5,13,4,HP301
171,1500,6,13,4,OH7B
172,1500,6,13,4,OH7B
173,1501,7,13,4,CML322
174,1501,7,13,4,CML322
175,1502,8,13,4,Ki3
176,1502,8,13,4,Ki3
177,1503,9,13,4,Tzi8
178,1503,9,13,4,Tzi8
179,1504,10,13,4,Mo17
180,1504,10,13,4,Mo17
181,1505,10,14,4,CML333
182,1505,10,14,4,CML333
183,1506,9,14,4,KY21
184,1506,9,14,4,KY21
185,1507,8,14,4,OH43
186,1507,8,14,4,OH43
187,1508,7,14,4,B97
188,1508,7,14,4,B97
189,1509,6,14,4,Ki11
190,1509,6,14,4,Ki11
191,1510,5,14,4,Mo18W
192,1510,5,14,4,Mo18W
193,1511,4,14,4,CML228
194,1511,4,14,4,CML228
195,1512,3,14,4,P39 
196,1512,3,14,4,P39 
197,1513,3,15,4,IL14H
198,1513,3,15,4,IL14H
199,1514,4,15,4,B73
200,1514,4,15,4,B73
201,1515,5,15,4,CML69
202,1515,5,15,4,CML69
203,1516,6,15,4,CML103
204,1516,6,15,4,CML103
205,1517,7,15,5,B97
206,1517,7,15,5,B97
207,1518,8,15,5,Ki11
208,1518,8,15,5,Ki11
209,1519,9,15,5,CML333
210,1519,9,15,5,CML333
211,1520,10,15,5,NC358
212,1520,10,15,5,NC358
213,1521,10,16,5,M162W
214,1521,10,16,5,M162W
215,1522,9,16,5,CML69
216,1522,9,16,5,CML69
217,1523,8,16,5,OH43
218,1523,8,16,5,OH43
219,1524,7,16,5,Ki3
220,1524,7,16,5,Ki3
221,1525,6,16,5,CML103
222,1525,6,16,5,CML103
223,1526,5,16,5,OH7B
224,1526,5,16,5,OH7B
225,1527,4,16,5,CML322
226,1527,4,16,5,CML322
227,1528,3,16,5,M37W
228,1528,3,16,5,M37W
229,1529,3,17,5,CML277
230,1529,3,17,5,CML277
231,1530,4,17,5,IL14H
232,1530,4,17,5,IL14H
233,1531,5,17,5,Mo18W
234,1531,5,17,5,Mo18W
235,1532,6,17,5,MS71
236,1532,6,17,5,MS71
237,1533,7,17,5,Mo17
238,1533,7,17,5,Mo17
239,1534,8,17,5,Tzi8
240,1534,8,17,5,Tzi8
241,1535,9,17,5,CML247
242,1535,9,17,5,CML247
243,1536,10,17,5,CML52
244,1536,10,17,5,CML52
245,1537,10,18,5,B73
246,1537,10,18,5,B73
247,1538,9,18,5,CML228
248,1538,9,18,5,CML228
249,1539,8,18,5,Tx303
250,1539,8,18,5,Tx303
251,1540,7,18,5,KY21
252,1540,7,18,5,KY21
253,1541,6,18,5,HP301
254,1541,6,18,5,HP301
255,1542,5,18,5,P39 
256,1542,5,18,5,P39 
257,1543,4,18,5,NC350
258,1543,4,18,5,NC350
259,1544,3,18,6,B97
260,1544,3,18,6,B97
261,1545,3,19,6,Ki11
262,1545,3,19,6,Ki11
263,1546,4,19,6,CML333
264,1546,4,19,6,CML333
265,1547,5,19,6,NC358
266,1547,5,19,6,NC358
267,1548,6,19,6,M162W
268,1548,6,19,6,M162W
269,1549,7,19,6,CML69
270,1549,7,19,6,CML69
271,1550,8,19,6,OH43
272,1550,8,19,6,OH43
273,1551,9,19,6,Ki3
274,1551,9,19,6,Ki3
275,1552,10,19,6,CML103
276,1552,10,19,6,CML103
277,1553,10,20,6,OH7B
278,1553,10,20,6,OH7B
279,1554,9,20,6,CML322
280,1554,9,20,6,CML322
281,1555,8,20,6,M37W
282,1555,8,20,6,M37W
283,1556,7,20,6,CML277
284,1556,7,20,6,CML277
285,1557,6,20,6,IL14H
286,1557,6,20,6,IL14H
287,1558,5,20,6,Mo18W
288,1558,5,20,6,Mo18W
289,1559,4,20,6,MS71
290,1559,4,20,6,MS71
291,1560,3,20,6,Mo17
292,1560,3,20,6,Mo17
293,1561,3,21,6,Tzi8
294,1561,3,21,6,Tzi8
295,1562,4,21,6,CML247
296,1562,4,21,6,CML247
297,1563,5,21,6,CML52
298,1563,5,21,6,CML52
299,1564,6,21,6,B73
300,1564,6,21,6,B73
301,1565,7,21,6,CML228
302,1565,7,21,6,CML228
303,1566,8,21,6,Tx303
304,1566,8,21,6,Tx303
305,1567,9,21,6,KY21
306,1567,9,21,6,KY21
307,1568,10,21,6,HP301
308,1568,10,21,6,HP301
309,1569,10,22,6,P39 
310,1569,10,22,6,P39 
311,1570,9,22,6,NC350
312,1570,9,22,6,NC350
