Set,Tube,Envelope,Source,Ear,Sample,Rep,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Rb85,Sr88,Mo98,Cd111
R5,1,1,NY,1,base,1,52.9,105,2272,12.1,6863,4332,9658,107,173,12.19,47,0.0088,0.32,3.14,35.5,0.008,1.42,0.09,0.133,0.008
R5,2,2,NY,1,middle,1,42.3,80.9,1934,9.5,5758,3793,8132,82,124,9.06,42.8,0.0069,0.24,1.88,33,0.008,1.22,0.064,0.13,0.017
R5,3,3,NY,1,tip,1,55.3,93.9,2248,7.5,6598,4483,9110,45,88,10.53,45.4,0.008,0.29,2.15,52.6,0.003,1.55,0.031,0.153,0.014
R5,4,4,NY,2,base,1,41.8,63.6,2435,3.9,6984,4023,9842,66,90,12.64,35.9,0.008,0.3,1.77,46.9,0.003,1.87,0.046,0.136,0.007
R5,5,5,NY,2,middle,1,43.3,83.3,2453,8.3,7250,4370,9818,57,85,12.54,43.9,0.0048,0.27,1.63,47.5,0.003,1.98,0.046,0.133,0.009
R5,6,6,NY,2,tip,1,57.6,99.6,2556,6.2,7196,4975,9197,40,76,10.54,50.3,0.0082,0.31,1.78,64.7,0.003,2.01,0.023,0.165,0.004
R5,7,7,NY,3,base,1,27.5,49.2,2391,4.3,6898,4118,9640,54,84,11.04,44.7,0.0068,0.23,2.8,42.5,0.003,1.62,0.064,0.121,0.013
R5,8,8,NY,3,middle,1,38.8,67.8,2286,4.2,6511,4224,8855,66,79,10.04,46.8,0.0042,0.22,1.9,42.7,0.006,1.63,0.054,0.131,0.005
R5,9,9,NY,3,tip,1,32.3,59,2499,5.4,7155,4848,9026,48,73,10.67,52.2,0.0042,0.26,1.97,57.9,0.002,1.73,0.04,0.161,0.009
R5,10,1,NY,1,base,2,34.4,69.3,2052,5.7,6384,3657,9237,90,77,10.22,37.2,0.0064,0.24,2.57,33.1,0.002,1.34,0.089,0.122,0.004
R5,11,2,NY,1,middle,2,55.5,92.5,2285,7.3,6331,4090,8388,67,72,11.17,50.1,0.0118,0.29,1.91,38.5,0.003,1.26,0.043,0.133,0.005
R5,12,3,NY,1,tip,2,41.2,88.3,1906,41.5,5000,4389,6569,51,71,8.01,48.5,0.006,0.28,1.63,39.7,0.004,1.09,0.059,0.141,0.005
R5,13,4,NY,2,base,2,24,49,2231,4.3,6694,3855,9051,66,65,10.47,40.2,0.0061,0.25,2.27,40.2,0.004,1.68,0.06,0.116,0.006
R5,14,5,NY,2,middle,2,46.4,134.4,2414,9,6919,4327,9067,56,69,13.01,43.7,0.0063,0.28,1.5,50.4,0.002,1.86,0.052,0.146,0.008
R5,15,6,NY,2,tip,2,36,63.7,2293,4.9,6462,4563,8339,60,68,10.56,48.1,0.0076,0.27,1.54,50.6,0.003,1.78,0.038,0.124,0.009
R5,16,7,NY,3,base,2,23.4,46.2,2271,3.5,6577,3871,9018,62,73,11.35,39.1,0.0035,0.19,2.54,36.8,0.003,1.54,0.08,0.113,0.013
R5,17,8,NY,3,middle,2,23.1,46.3,2380,3.6,6751,3962,9436,41,58,10.46,37.5,0.0063,0.21,1.89,41.3,0.001,1.61,0.048,0.141,0.01
R5,18,9,NY,3,tip,2,39.1,80.9,2466,7.3,7101,4854,9569,45,66,11.46,49.5,0.0065,0.21,1.93,53.1,0.003,1.72,0.04,0.169,0.004
R5,19,1,NY,1,base,3,28.2,62.1,1996,5.3,6054,3595,8616,54,69,8.88,36.5,0.0073,0.19,2.82,32.6,0.002,1.17,0.051,0.125,0
R5,20,2,NY,1,middle,3,24.6,52,2139,3.8,6010,3823,8366,58,73,9.87,39,0.0061,0.19,1.93,36.3,0.002,1.2,0.055,0.112,0.014
R5,21,3,NY,1,tip,3,61.7,91.3,2072,6.8,6311,4336,9017,59,86,10.79,44.9,0.0075,0.44,1.96,41.1,0.005,1.42,0.065,0.131,0.011
R5,22,4,NY,2,base,3,26.8,49.8,2381,3.9,7035,4501,9730,79,92,13.64,45.4,0.0056,0.27,1.67,46.9,0.002,1.79,0.065,0.133,0.004
R5,23,5,NY,2,middle,3,50.1,94,2267,8.7,6612,3948,9053,53,61,11.46,43.6,0.0056,0.22,1.49,46.2,0.001,1.76,0.045,0.13,0.009
R5,24,6,NY,2,tip,3,60,125.1,2659,13.5,7260,5727,9522,55,81,11.57,62.8,0.0092,0.37,1.61,65.9,0.001,1.89,0.03,0.159,0.008
R5,25,7,NY,3,base,3,36.1,84.4,2144,11.6,6405,3707,8992,65,68,9.65,40.3,0.0066,0.2,2.69,38.3,0.002,1.55,0.07,0.135,0.005
R5,26,8,NY,3,middle,3,43.3,81.8,2186,4.9,6220,3811,8467,58,60,10.3,39.7,0.0078,0.14,1.66,40.4,0.002,1.48,0.049,0.126,0.002
R5,27,9,NY,3,tip,3,69.3,120.2,2299,10.2,6325,4753,8499,57,75,9.82,53.2,0.0075,0.2,1.64,49.1,0.004,1.54,0.032,0.154,0.015
R5,28,1,NY,1,base,4,22.9,49.1,2041,3.8,6182,3851,8573,106,93,11.19,37.4,0.008,0.21,3.2,32.4,0.002,1.27,0.11,0.106,0.006
R5,29,2,NY,1,middle,4,22.8,49,1905,3.6,5593,3405,7601,55,55,9.43,33.9,0.0075,0.16,1.62,35.7,0.002,1.16,0.044,0.106,0.005
R5,30,3,NY,1,tip,4,28.5,51.3,2118,4.3,6050,4262,8367,58,61,9.95,39.5,0.0045,0.27,1.77,43.3,0.002,1.22,0.035,0.135,0.002
R5,31,4,NY,2,base,4,20.5,42.2,2138,3.7,6613,3798,9338,71,79,11.38,33.1,0.0061,0.17,2.36,39.7,0.001,1.79,0.076,0.113,0.004
R5,32,5,NY,2,middle,4,25.8,51.2,2184,4.6,6506,4364,8409,41,51,11.67,41.3,0.0061,0.24,1.66,46.3,0.001,1.73,0.024,0.113,0.035
R5,33,6,NY,2,tip,4,25.1,55.9,2287,4.3,6546,4559,8511,34,55,10.77,49.8,0.0076,0.32,1.68,56.6,0.003,1.83,0.016,0.152,0.004
R5,34,7,NY,3,base,4,31.8,71.8,2159,8,6378,4315,8633,65,81,11.3,44.4,0.0049,0.24,2.41,34.8,0.002,1.49,0.063,0.112,0.001
R5,35,8,NY,3,middle,4,40.7,90.2,2267,7.2,6435,4161,8896,42,57,10.56,45.7,0.0077,0.21,1.83,42.1,0.003,1.57,0.04,0.109,0.005
R5,36,9,NY,3,tip,4,44.6,99.5,2368,10,6914,4921,8741,51,76,11,52.3,0.008,0.34,1.98,54,0.003,1.62,0.045,0.141,0.006
R5,37,1,NY,1,base,5,28.4,56.6,2000,5,6228,3622,9067,64,69,9.5,38.5,0.0077,0.22,3,33.1,0.001,1.23,0.051,0.122,0.002
R5,38,2,NY,1,middle,5,26.1,56.1,2092,4.6,6310,4238,8791,62,75,10.38,44.7,0.0073,0.3,1.66,38.2,0.003,1.32,0.059,0.149,0.006
R5,39,3,NY,1,tip,5,42.7,94.1,2302,13.3,6688,4407,8981,67,74,12.28,46.9,0.0052,0.28,1.92,49.8,0,1.49,0.071,0.166,0.008
R5,40,4,NY,2,base,5,43,75.8,2363,7.7,7233,4297,9961,73,83,13.26,39.8,0.0077,0.33,2.09,47,0,1.96,0.061,0.146,0.001
R5,41,5,NY,2,middle,5,52.2,94.2,2297,10,6721,3977,9061,48,51,11.59,38.9,0.0078,0.28,1.49,46.7,0.002,2.05,0.037,0.131,0.005
R5,42,6,NY,2,tip,5,49.1,102.2,2516,9.8,7086,4749,8811,61,77,11.56,52.9,0.0089,0.36,2,57.7,0.001,1.87,0.062,0.127,0.009
R5,43,7,NY,3,base,5,22.9,44.3,2411,4.1,7005,3890,9374,55,56,12.05,37.5,0.0076,0.22,2.85,42.8,0.002,1.66,0.054,0.164,0.006
R5,44,8,NY,3,middle,5,44.8,95.7,2286,10.3,6430,4281,8718,67,77,10.68,45.7,0.0121,0.3,1.72,42.2,0.003,1.6,0.06,0.146,0.006
R5,45,9,NY,3,tip,5,35.4,72.5,2404,5.5,6872,4011,9022,94,91,11.5,42.5,0.0037,0.25,2.13,58.9,0.004,1.82,0.124,0.199,0.011
R5,46,1,NY,1,base,6,31.8,85.3,2156,6.7,6425,4055,9454,69,71,9.45,43.5,0.008,0.3,2.71,37.2,0.003,1.46,0.084,0.171,0.001
R5,47,2,NY,1,middle,6,26.8,61.9,2021,5,5989,3582,8330,57,58,9.21,38.4,0.0069,0.21,1.88,36.8,0.004,1.33,0.064,0.119,0.011
R5,48,3,NY,1,tip,6,37.5,97.5,2374,11.4,6658,4058,8818,64,61,12.47,43.6,0.0074,0.31,2.42,54.9,0.005,1.56,0.05,0.199,0.012
