Plot,Block,Row,Range,Genotype,NumofEars
206,1,10,6,Tx303,1
207,1,11,7,OH7B,1
208,1,11,8,CML277,1
209,1,10,9,KY21,1
210,1,9,10,OH43,1
211,1,8,11,Tzi8,1
212,1,7,12,B73,1
213,1,6,13,Mo18W,1
214,1,5,14,CML69,1
215,1,5,15,Mo17,1
216,1,6,16,IL14H,1
217,1,7,17,NC358,1
218,1,8,18,M37W,1
219,1,9,19,CML333,1
220,1,10,20,CML228,2
221,1,11,1,B97,1
222,1,11,2,CML247,2
223,1,10,3,Ki11,1
225,1,8,5,NC350,1
226,1,7,6,HP301,1
227,1,6,7,MS71,1
228,1,5,8,M162W,1
229,1,5,9,CML52,2
230,1,6,10,CML322,1
231,1,7,11,CML103,1
232,1,8,12,Ki3,1
233,2,9,13,KY21,1
234,2,10,14,OH7B,1
235,2,11,15,Ki3,1
236,2,11,16,M37W,1
237,2,10,17,CML69,1
238,2,9,18,CML333,1
240,2,7,20,CML103,1
241,2,6,1,B73,1
242,2,5,2,Mo18W,1
243,2,5,3,CML228,1
244,2,6,4,Mo17,1
245,2,7,5,NC358,1
246,2,8,6,CML247,1
247,2,9,7,MS71,1
248,2,10,8,CML277,1
249,2,11,9,IL14H,1
250,2,11,10,Ki11,1
251,2,10,11,M162W,1
252,2,9,12,CML52,2
253,2,8,13,OH43,1
254,2,7,14,Tzi8,1
255,2,6,15,HP301,1
256,2,5,16,B97,1
257,2,5,17,Tx303,1
258,2,6,18,CML322,1
259,2,7,19,NC350,1
260,3,8,20,CML247,1
261,3,9,1,CML322,1
262,3,10,2,B73,1
263,3,11,3,CML52,1
264,3,11,4,CML69,1
265,3,10,5,CML103,1
266,3,9,6,KY21,1
267,3,8,7,Ki11,1
268,3,7,8,OH7B,1
269,3,6,9,M37W,1
270,3,5,10,B97,1
271,3,5,11,Ki3,1
272,3,6,12,NC358,1
273,3,7,13,NC350,1
274,3,8,14,CML333,1
275,3,9,15,CML277,1
276,3,10,16,M162W,1
277,3,11,17,IL14H,1
278,3,11,18,Tzi8,1
279,3,10,19,Mo17,1
280,3,9,20,Tx303,1
281,3,8,1,MS71,1
283,3,6,3,Mo18W,1
284,3,5,4,CML228,1
285,3,5,5,HP301,1
286,3,6,6,OH43,1
287,4,7,7,CML277,1
289,4,9,9,IL14H,1
290,4,10,10,B97,1
291,4,11,11,CML52,1
292,4,11,12,OH7B,1
293,4,10,13,CML333,1
294,4,9,14,MS71,1
295,4,8,15,Tx303,1
296,4,7,16,CML247,1
297,4,6,17,HP301,1
298,4,5,18,B73,1
299,4,5,19,NC350,1
300,4,6,20,CML69,1
301,4,7,1,CML322,1
302,4,8,2,Mo18W,1
303,4,9,3,Mo17,1
304,4,10,4,NC358,1
305,4,11,5,Ki3,1
306,4,11,6,KY21,1
307,4,10,7,CML103,1
308,4,9,8,OH43,1
309,4,8,9,M37W,1
310,4,7,10,M162W,1
311,4,6,11,Tzi8,1
312,4,5,12,CML228,1
313,4,5,13,Ki11,1
314,5,6,14,NC350,1
315,5,7,15,M162W,1
318,5,10,18,IL14H,1
319,5,11,19,CML103,1
320,5,11,20,B73,1
321,5,10,1,Ki3,1
322,5,9,2,Tzi8,1
323,5,8,3,Ki11,1
324,5,7,4,Mo18W,1
325,5,6,5,KY21,1
326,5,5,6,NC358,1
327,5,5,7,OH43,1
328,5,6,8,CML277,1
329,5,7,9,HP301,1
330,5,8,10,Mo17,1
331,5,9,11,CML322,1
332,5,10,12,CML333,1
333,5,11,13,CML52,1
334,5,11,14,Tx303,1
335,5,10,15,OH7B,1
336,5,9,16,CML69,1
337,5,8,17,MS71,1
338,5,7,18,CML247,1
339,5,6,19,B97,1
340,5,5,20,M37W,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
