row,set,Tube,weights,Line,Su,B11,Na23,Mg25,Al27,Si29,P31,S34,K39,Ca44,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Mo98,Cd114
07U3961,R5,1,0.2168,(B73_Il14H)S5,NA,379.767819,175.3119758,2410.228904,27.36035237,2299.768966,4034.142849,1902.553477,5432.318691,150.6981171,9.691392036,26.99221312,0.003334951,0.062559906,2.143198549,19.81439059,0.218103309,1.377432154,2.696456705,0.273059818,0.00415451
07U3963,R5,2,0.2261,(B73_Il14H)S5,NA,254.8959847,115.3805966,2658.312665,17.78396858,1751.149131,4675.372778,2596.976161,3867.611281,156.5026048,9.634599397,31.94041246,0.002360018,0.170129214,4.549666287,29.91904124,0.213247339,0.667494583,3.344404854,0.210708517,0.141885153
07U3964,R5,3,0.2095,(B73_Il14H)S5,NA,414.8245849,194.0370803,2121.249273,27.40313494,1842.276602,3771.396704,1994.570487,3904.765158,510.2460207,8.52385345,29.69373336,0.012504336,0.343248633,1.51655157,297.0965833,0.217776489,0.937673014,3.457184751,0.14193863,0.009603161
07U3966,R5,4,0.1701,(B73_Il14H)S5,NA,584.0752645,267.0626305,2112.090645,39.72068976,2060.573867,4431.337111,2443.790415,4952.308419,160.6228117,6.070137612,28.07447991,0.003841535,0.449285853,2.332984056,21.79694933,0.293148534,0.915566806,2.875867195,0.230082108,0.004840192
07U3967,R5,5,0.2344,(B73_Il14H)S5,round,330.550149,155.9602247,1812.980275,22.87130819,1407.98425,3624.210691,1905.312215,4505.842798,149.851421,3.960295446,26.2280618,0.003107256,0.271497431,3.068782456,19.07863618,0.196653958,0.200661573,2.835314667,0.134771143,0.091278169
07U3968,R5,6,0.2938,(B73_Il14H)S5,NA,324.2350851,150.090146,2052.008025,21.45212142,1162.341334,3824.239861,1643.005824,3909.589638,106.7030116,5.938654263,29.62394709,0.003582527,0.28818435,1.213373463,25.27313113,0.15967248,0.301594067,2.983421432,0.127259768,0.066269833
07U3969,R5,7,0.1454,(B73_Il14H)S5,NA,410.7118994,198.9053721,2447.092858,21.5146164,1618.469457,4182.890173,2357.867764,4068.192084,197.2918913,5.858165537,31.92811046,0.006572042,0.368899288,2.772746356,16.79814815,0.33989471,0.333721334,2.993611441,0.195346298,0.013098
07U3970,R5,8,0.2179,B73,NA,539.5341104,242.8548914,1999.301882,34.21742827,1391.8368,3399.102181,2251.669909,4107.096454,140.6076477,6.243011269,29.40561413,0.003157045,0.352114458,1.385400735,21.7384524,0.22759928,0.255439386,3.470772,0.127877041,0.011936104
07U3972,R5,9,0.2324,(B73_Il14H)S5,NA,248.1408149,115.0933927,2236.252577,13.73170656,1017.404914,4106.775375,2001.727884,4788.399974,157.7676032,7.375950298,30.05636017,0.00233842,0.288671326,1.825223876,24.6010799,0.205873653,0.134107831,2.225164181,0.088331465,0.148069726
07U3973,R5,10,0.1484,Il14H,NA,601.0699446,278.2620293,2911.669656,42.39475797,2568.135421,5953.633925,2698.293737,7145.634812,202.67415,7.952173315,39.51456979,0.006071455,0.239702298,1.819693579,22.0951554,0.346804299,0.222705164,4.122328493,0.231605628,0.154399197
